user_id,followers,friends,longevity,len_description,len_name,retweeted,replied,favorited,num_hashtags,num_urls,num_mentions,favorite_tweets,total_tweets,total_replies,freq_tweets,freq_replies,label,net_tweets,freq_nettweets,verified
10935572,171,1398,7.166666666666668,0.0,10,14.879496402877695,1.9100719424460433,0.9424460431654677,0.04856115107913669,0.18345323741007194,0.3525179856115108,7,556,124.0,0.21172886519421166,0.04722010662604722,Fake,432.0,0.16450875856816452,0.1114395513399999
16119337,9,564,6.416666666666668,0.0,9,1844.0366197183096,0.016901408450704224,0.01971830985915493,1.0,0.03380281690140845,0.14084507042253522,10,355,0.0,0.15074309978768574,0.0,Fake,355.0,0.15074309978768574,0.23357224361000004
16753788,91,527,6.333333333333332,0.0,7,0.0,0.03333333333333333,0.0,0.2333333333333333,0.26666666666666666,0.3,0,30,4.0,0.01297016861219196,0.0017293558149589275,Fake,26.0,0.011240812797233029,0.25017019950999997
17640121,17,361,6.25,0.0,8,52.6,0.8,5.1,0.25,0.05,0.65,0,20,8.0,0.008806693086745927,0.00352267723469837,Fake,12.0,0.005284015852047556,0.24724451332750008
17656600,583,836,6.25,17.0,9,55.398692810457526,2.3954248366013067,4.794117647058823,0.35294117647058826,0.34967320261437906,1.2254901960784317,92,306,121.0,0.13474240422721268,0.053280493174812864,Fake,185.0,0.08146191105239982,0.23355804673000002
19230427,13,466,6.083333333333332,14.0,4,44.57291666666666,1.0833333333333333,2.3229166666666665,0.19791666666666666,0.03125,0.6979166666666666,1,96,63.0,0.04332129963898917,0.028429602888086644,Fake,33.0,0.014891696750902529,0.24707744784749988
19951698,63,901,6.0,0.0,10,2262.4870466321245,0.3212435233160621,0.3160621761658031,0.4507772020725389,0.2538860103626943,0.6010362694300518,13,193,2.0,0.08764759309718438,0.0009082652134423252,Fake,191.0,0.08673932788374206,0.20774335851000003
20731719,18,1009,6.0,0.0,13,1.463302752293578,0.0,0.0,0.0,0.993119266055046,0.5068807339449541,0,436,0.0,0.19881440948472406,0.0,Fake,436.0,0.19881440948472406,0.24435470829000017
21196037,130,484,6.0,0.0,10,33.69230769230769,0.2948717948717949,5.9230769230769225,0.0,0.038461538461538464,0.08974358974358974,0,78,3.0,0.03566529492455418,0.0013717421124828533,Fake,75.0,0.03429355281207133,0.29128026687999997
21375100,271,1199,6.0,7.0,6,471.00917431192664,7.165137614678898,7.853211009174312,0.18807339449541285,0.059633027522935776,0.9128440366972476,7,218,31.0,0.09977116704805493,0.014187643020594966,Fake,187.0,0.08558352402745996,0.23099390398999994
21706899,5,549,6.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.00045829514207149406,0.0,Fake,1.0,0.00045829514207149406,0.3871830184
25836383,547,1286,5.916666666666668,18.0,10,79.35046728971963,0.06386292834890965,0.09345794392523364,0.032710280373831765,0.2834890965732087,0.5171339563862928,6,642,110.0,0.29791183294663576,0.05104408352668213,Fake,532.0,0.2468677494199536,0.16298622585999983
26778002,492,2004,5.916666666666668,6.0,11,44.076310550763104,1.7949568679495689,4.3271400132714,0.21035169210351687,0.5773059057730591,0.7823490378234904,2,1507,207.0,0.7006043700604371,0.09623430962343096,Fake,1300.0,0.604370060437006,0.11512031697
27662686,28,577,5.916666666666668,0.0,8,0.018518518518518517,0.1111111111111111,0.018518518518518517,0.018518518518518517,0.0,0.8148148148148148,3,54,35.0,0.025151374010246856,0.016301816488122962,Fake,19.0,0.008849557522123894,0.2649227262600002
28843786,45,568,5.833333333333332,0.0,11,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.42857142857142855,0,7,2.0,0.0032679738562091504,0.0009337068160597573,Fake,5.0,0.002334267040149393,0.24207324263000024
29940598,8,385,5.833333333333332,1.0,11,0.1129032258064516,0.04838709677419355,0.0,0.2258064516129032,0.1935483870967742,0.3225806451612903,0,62,8.0,0.029012634534394014,0.003743565746373421,Fake,54.0,0.025269068788020592,0.34910782302000015
30428221,76,847,5.833333333333332,0.0,9,277.336860670194,10.070546737213403,19.65608465608465,0.4850088183421517,0.047619047619047616,0.8165784832451499,14,567,254.0,0.26557377049180325,0.1189695550351288,Fake,313.0,0.14660421545667449,0.21544527155000004
31776715,9,556,5.833333333333332,0.0,6,0.0,0.0,0.0,0.0,0.0,0.6,1,5,2.0,0.002347417840375587,0.0009389671361502347,Fake,3.0,0.0014084507042253524,0.22701404820000018
